Feature 1,Feature 2,Correlation
price,primary_energy_consumption_sqm,-0.0016719478121115944
garden_sqm,cadastral_income,0.001564059700580668
id,fl_open_fire,0.0014335305811736824
primary_energy_consumption_sqm,fl_double_glazing,-0.0014298381326777307
fl_swimming_pool,primary_energy_consumption_sqm,-0.0013461147114426392
fl_furnished,primary_energy_consumption_sqm,-0.0012659854221042813
terrace_sqm,cadastral_income,-0.0011866542358287553
fl_swimming_pool,cadastral_income,0.0010407791953327761
id,total_area_sqm,0.0007487810747973865
total_area_sqm,primary_energy_consumption_sqm,0.0007387827073237474
surface_land_sqm,fl_terrace,-0.0006887234662531877
fl_furnished,cadastral_income,0.0006450567520477396
construction_year,primary_energy_consumption_sqm,-0.0005788758574662601
total_area_sqm,fl_double_glazing,-0.0005595251816062042
surface_land_sqm,primary_energy_consumption_sqm,-0.0005320093254222692
fl_furnished,fl_terrace,0.0005196144836655053
id,fl_swimming_pool,-0.00036834920974636114
garden_sqm,primary_energy_consumption_sqm,-0.0002646300274540294
primary_energy_consumption_sqm,cadastral_income,-0.000240969361611915
surface_land_sqm,cadastral_income,0.00019236409337607834
id,fl_double_glazing,9.607864408449564e-05
