id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
74696000,8190000,HOUSE,VILLA,Flanders,Flemish Brabant,Leuven,3360,50.7778217,4.7859097,2008.0,345,700.0,4,6,0,0,0,1,32,0,0,0,0,AS_NEW,116.0,B,FUELOIL,1,1861.0
56791000,13000000,HOUSE,HOUSE,Brussels-Capital,Brussels,Brussels,1180,50.785575,4.3663411,1933.0,167,1050.0,3,3,0,0,0,1,0,1,10500,0,0,MISSING,821.0,G,GAS,1,1.0
54062000,4550000,HOUSE,TOWN_HOUSE,Flanders,Antwerp,Mechelen,2800,51.0310393,4.4693606,1995.0,137,137.0,2,3,0,0,0,1,18,1,40,0,0,AS_NEW,105.0,B,GAS,1,1110.0
8004000,7290000,HOUSE,HOUSE,Flanders,East Flanders,Aalst,9420,50.9221882,3.9710735,1982.0,318,562.0,2,5,0,0,0,1,0,0,0,0,1,AS_NEW,116.0,B,GAS,0,1465.0
46041000,4000000,HOUSE,VILLA,Wallonia,Hainaut,Soignies,7090,50.6078053,4.1471533,1984.0,240,1624.0,4,3,0,0,0,1,0,1,0,0,1,MISSING,288.0,D,GAS,1,1822.0
32912000,3600000,HOUSE,HOUSE,Wallonia,Namur,Namur,5020,50.4744684,4.7957886,1992.0,200,1200.0,4,5,0,0,1,1,8,0,0,0,1,GOOD,303.0,D,FUELOIL,1,1239.0
18677000,4290000,HOUSE,MIXED_USE_BUILDING,Flanders,Antwerp,Antwerp,2100,51.2214674,4.4646331,1930.0,315,107.0,2,4,0,0,1,0,0,0,0,0,1,GOOD,511.0,F,GAS,1,1961.0
9354000,4590000,HOUSE,TOWN_HOUSE,Flanders,Flemish Brabant,Halle-Vilvoorde,1860,50.9237262,4.3407659,1979.0,170,279.0,2,3,0,0,0,1,20,1,150,0,0,GOOD,166.0,B,GAS,1,1512.0
14304000,5490000,HOUSE,TOWN_HOUSE,Brussels-Capital,Brussels,Brussels,1120,50.8955513,4.3918648,1970.0,195,189.0,2,5,0,0,0,1,12,1,60,0,1,AS_NEW,254.0,E,GAS,1,2265.0
41803000,3390000,HOUSE,HOUSE,Flanders,East Flanders,Oudenaarde,9570,50.8108574,3.7969124,1963.0,151,901.0,3,2,0,0,0,0,0,0,0,0,1,MISSING,172.0,B,MISSING,1,574.0
44738000,2650000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8211,51.1164243,3.0860452,1967.0,200,374.0,3,4,0,0,0,1,0,0,0,0,0,GOOD,819.0,F,FUELOIL,0,736.0
71751000,4350000,HOUSE,BUNGALOW,Flanders,Flemish Brabant,Halle-Vilvoorde,1880,50.981309,4.3507447,2000.0,160,620.0,4,2,0,0,0,0,0,0,0,0,0,TO_BE_DONE_UP,317.0,D,FUELOIL,1,1249.0
14456000,2350000,HOUSE,HOUSE,Flanders,West Flanders,Veurne,8630,51.0652795,2.6661992,1934.0,157,370.0,2,3,0,0,0,0,0,0,0,0,0,MISSING,684.0,F,GAS,1,629.0
6085000,2300000,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,7170,50.4682428,4.2247739,1930.0,149,580.0,3,3,0,0,0,1,0,0,0,0,0,GOOD,422.0,E,GAS,0,622.0
